location_name,peak_bed_day_mean,peak_bed_day_lower,peak_bed_day_upper,peak_icu_bed_day_mean,peak_icu_bed_day_lower,peak_icu_bed_day_upper,peak_vent_day_mean,peak_vent_day_lower,peak_vent_day_upper,all_bed_capacity,icu_bed_capacity,all_bed_usage,icu_bed_usage,available_all_nbr,available_icu_nbr,travel_limit_start_date,travel_limit_end_date,stay_home_start_date,stay_home_end_date,SAH_start_before_3/28,SAH_length,educational_fac_start_date,educational_fac_end_date,edu_fac_before_3/17,any_gathering_restrict_start_date,any_gathering_restrict_end_date,gather_restrict_before_3/20,any_business_start_date,any_business_end_date,any_business_before_3/18,all_non-ess_business_start_date,all_non-ess_business_end_date,length_nonessbusiness,dem_gov,unemployment_pct_jan,trump_vote_pct,population,trump_vote_over_50,Name,Postal Code,FIPS
California,6/11/20,4/18/20,6/16/20,6/12/20,4/21/20,6/17/20,6/11/20,4/21/20,6/17/20,85724,6783,59070,4789,26654,1994,,,3/19/20,6/26/20,1,99,3/19/20,,0,3/11/20,,1,3/19/20,,0,3/19/20,6/26/20,99,1,3.9,32,39512223,0,California,CA,6
Illinois,5/13/20,5/4/20,6/1/20,5/12/20,5/10/20,6/1/20,5/12/20,5/10/20,6/1/20,36072,2910,21520,1779,14552,1131,,,3/21/20,5/29/20,1,69,3/17/20,,0,3/13/20,,1,3/16/20,,1,3/21/20,5/1/20,41,1,3.5,38,12671821,0,Illinois,IL,17
New Jersey,4/16/20,4/14/20,4/28/20,4/27/20,4/15/20,4/28/20,4/27/20,4/15/20,4/28/20,25996,1643,18181,1177,7815,466,,,3/21/20,6/26/20,1,97,3/18/20,,0,3/16/20,,1,3/16/20,,1,3/21/20,5/2/20,42,1,3.8,41,8882190,0,New Jersey,NJ,34
New York,4/9/20,4/8/20,4/9/20,4/9/20,4/8/20,4/9/20,4/8/20,4/8/20,4/8/20,62232,3787,49221,3069,13011,718,,,3/22/20,6/26/20,1,96,3/18/20,,0,3/12/20,,1,3/16/20,,1,3/22/20,5/15/20,54,1,3.8,37,19453561,0,New York,NY,36
Louisiana,4/12/20,4/12/20,4/20/20,4/13/20,4/12/20,4/21/20,4/13/20,4/12/20,4/20/20,18060,1242,10855,765,7205,477,,,3/23/20,5/15/20,1,53,3/16/20,,1,3/13/20,5/15/20,1,3/17/20,,1,3/22/20,5/1/20,40,1,5.3,58,4648794,1,Louisiana,LA,22
Ohio,5/20/20,4/26/20,6/1/20,5/21/20,4/27/20,6/1/20,5/21/20,4/27/20,6/1/20,37351,3371,23060,2132,14291,1239,,,3/23/20,5/29/20,1,67,3/16/20,,1,3/12/20,,1,3/15/20,,1,3/23/20,5/4/20,42,0,4.1,51,11689100,1,Ohio,OH,39
Oregon,4/8/20,4/7/20,4/10/20,4/8/20,4/8/20,4/9/20,4/8/20,4/8/20,4/9/20,7900,655,5242,445,2658,210,,,3/23/20,6/26/20,1,95,3/16/20,,1,3/12/20,,1,3/17/20,,1,,5/15/20,0,1,3.3,39,4217737,0,Oregon,OR,41
Washington,4/5/20,4/4/20,4/5/20,4/5/20,4/5/20,4/5/20,4/5/20,4/4/20,4/5/20,15235,1116,10328,775,4907,341,,,3/23/20,6/26/20,1,95,3/13/20,,1,3/11/20,,1,3/16/20,,1,3/25/20,6/26/20,93,1,3.9,37,7614893,0,Washington,WA,53
Delaware,5/14/20,5/12/20,5/30/20,5/13/20,5/12/20,6/1/20,5/13/20,5/12/20,6/1/20,2633,166,1937,125,696,41,,,3/24/20,5/31/20,1,68,3/16/20,,1,3/16/20,,1,3/16/20,,1,3/24/20,5/8/20,45,1,4,42,973764,0,Delaware,DE,10
Massachusetts,4/20/20,4/19/20,4/21/20,4/20/20,4/20/20,4/20/20,4/20/20,4/20/20,4/20/20,20197,1250,15348,973,4849,277,,,3/24/20,5/18/20,1,55,3/17/20,,0,3/13/20,,1,3/17/20,,1,3/24/20,5/18/20,55,0,2.8,33,6892503,0,Massachusetts,MA,25
